100 1000
-84 78 94
-87 50 63
91 -64 -41
-73 -12 68
-83 63 68
-30 -23 70
-94 -12 30
22 85 -99
-16 -14 -92
57 -63 97
6 85 37
47 14 25
83 15 -35
-44 -88 -77
-89 4 55
-33 -77 -40
-27 95 -96
-35 68 -98
-18 -53 -2
87 66 45
41 32 98
82 10 -68
98 87 7
-20 29 33
4 -71 9
41 97 19
47 22 -80
-65 -42 -94
-35 -25 -88
44 28 -60
33 -38 76
75 59 30
36 -19 44
29 -77 44
-14 -7 -5
-29 70 -18
25 71 91
73 -45 6
-55 -70 -43
98 -56 49
-23 100 -47
-41 -12 6
-62 79 -21
-45 23 -9
-83 25 -63
-1 53 -80
69 74 -82
-34 61 100
-100 60 -14
91 -27 -85
-91 -77 37
-46 -80 -88
-49 60 -37
43 7 -14
22 20 -22
40 41 -6
-28 -85 -21
23 97 -31
-93 -73 26
23 -41 99
-99 -25 10
-20 33 -95
80 -74 51
-61 -80 94
22 5 -62
27 -45 -3
85 -43 29
-73 -59 -37
-54 4 -34
-91 -68 69
-1 89 -50
4 64 -54
87 -53 -76
58 -37 15
-61 29 -51
-57 95 100
-40 29 1
-48 60 -36
-40 16 5
-50 86 44
-78 39 50
-68 93 -44
-30 -83 42
-27 -62 61
24 82 91
97 -78 -91
25 -15 -6
-13 -1 -27
-17 79 -47
-48 -52 32
58 -13 15
-13 13 11
-90 56 21
-88 -39 -71
57 -7 50
6 -18 46
-74 74 90
-8 -58 72
1 -19 -26
75 58 -94
71 18 70
-23 74 -32
-83 93 58
22 75 48
32 -38 -55
99 -82 -17
32 -97 -39
19 -71 13
78 -37 77
8 -58 100
-28 -37 19
64 45 -6
92 -56 -90
-94 -6 -23
-18 -94 27
87 -44 15
80 63 89
-11 95 47
38 54 -74
26 -11 -18
64 -91 -31
72 34 90
5 -6 69
-86 96 -50
-68 64 97
-66 37 -71
-12 -33 80
-71 73 -35
-84 -99 64
-51 -74 -60
-48 83 -33
55 -99 -41
-60 63 -42
-24 -73 55
22 66 -72
-70 2 54
8 -29 -98
-85 -35 -92
99 53 90
-7 -17 10
-1 10 -82
39 27 48
88 -33 82
51 -91 51
14 95 82
21 83 88
97 -5 93
-98 35 7
-58 96 63
-84 55 10
-33 -22 -64
83 -86 -86
91 -15 -17
93 29 -26
-37 19 -38
83 11 89
-16 38 -9
-84 58 -28
70 52 -11
-40 -89 94
-91 -100 32
78 -58 53
42 -69 85
77 -67 -55
9 79 -56
75 1 98
13 83 -94
-40 22 86
55 -63 -42
-53 -63 100
55 -16 -52
91 -92 38
-60 -72 -88
91 -71 66
70 62 -52
-1 39 65
-33 5 80
-13 -70 -71
-45 -50 -66
-27 84 70
53 -94 90
32 65 49
78 -34 50
56 -69 61
-24 -72 -78
46 -62 -24
-1 -76 -43
60 -90 -70
-52 84 34
-5 82 67
-68 93 -3
-32 75 -19
84 -88 74
63 34 -97
42 -27 81
-86 -6 30
-99 -63 -20
-42 -11 27
-90 9 39
94 -11 -6
14 -39 22
30 81 96
-25 -55 -70
